=== RUN   TestHandler
2024/08/08 13:32:47 Processing S3 object from bucket nextjsblog619f9308251149be95e1a59d89c85e5e233823-dev with key private/us-east-1:d0793677-36a8-4f9d-96aa-af199ce7dd0f/uploads/RCC_Tahuya.fit
2024-08-03 14:07:33 +0000 UTC
Edge840
Activity
time: 2024-08-03 14:09:43 +0000 UTC, lat: 47.61207, long: -122.34988, power: 35, cadence: 12, distance: 102917
time: 2024-08-03 14:09:44 +0000 UTC, lat: 47.61203, long: -122.34985, power: 598, cadence: 57, distance: 103451
time: 2024-08-03 14:09:45 +0000 UTC, lat: 47.61199, long: -122.34978, power: 630, cadence: 75, distance: 104000
time: 2024-08-03 14:09:46 +0000 UTC, lat: 47.61195, long: -122.34971, power: 541, cadence: 87, distance: 104745
time: 2024-08-03 14:09:47 +0000 UTC, lat: 47.61191, long: -122.34962, power: 428, cadence: 96, distance: 105559
time: 2024-08-03 14:09:48 +0000 UTC, lat: 47.61187, long: -122.34953, power: 311, cadence: 96, distance: 106363
time: 2024-08-03 14:09:49 +0000 UTC, lat: 47.61182, long: -122.34945, power: 224, cadence: 96, distance: 107176
time: 2024-08-03 14:09:50 +0000 UTC, lat: 47.61178, long: -122.34937, power: 228, cadence: 90, distance: 107958
time: 2024-08-03 14:09:51 +0000 UTC, lat: 47.61173, long: -122.34929, power: 221, cadence: 91, distance: 108755
time: 2024-08-03 14:09:52 +0000 UTC, lat: 47.61169, long: -122.34921, power: 240, cadence: 91, distance: 109551
time: 2024-08-03 14:09:53 +0000 UTC, lat: 47.61164, long: -122.34913, power: 245, cadence: 96, distance: 110348
time: 2024-08-03 14:09:54 +0000 UTC, lat: 47.61159, long: -122.34905, power: 207, cadence: 88, distance: 111172
time: 2024-08-03 14:09:55 +0000 UTC, lat: 47.61155, long: -122.34898, power: 200, cadence: 92, distance: 111901
time: 2024-08-03 14:09:56 +0000 UTC, lat: 47.61151, long: -122.34890, power: 148, cadence: 79, distance: 112671
time: 2024-08-03 14:09:57 +0000 UTC, lat: 47.61147, long: -122.34883, power: 211, cadence: 86, distance: 113297
time: 2024-08-03 14:09:58 +0000 UTC, lat: 47.61143, long: -122.34875, power: 227, cadence: 87, distance: 114095
time: 2024-08-03 14:09:59 +0000 UTC, lat: 47.61139, long: -122.34867, power: 201, cadence: 88, distance: 114820
time: 2024-08-03 14:10:00 +0000 UTC, lat: 47.61135, long: -122.34859, power: 204, cadence: 86, distance: 115549
time: 2024-08-03 14:10:01 +0000 UTC, lat: 47.61131, long: -122.34852, power: 213, cadence: 89, distance: 116299
time: 2024-08-03 14:10:02 +0000 UTC, lat: 47.61126, long: -122.34843, power: 200, cadence: 88, distance: 117091
time: 2024-08-03 14:10:03 +0000 UTC, lat: 47.61121, long: -122.34837, power: 187, cadence: 90, distance: 117813
time: 2024-08-03 14:10:04 +0000 UTC, lat: 47.61117, long: -122.34828, power: 108, cadence: 78, distance: 118583
time: 2024-08-03 14:10:05 +0000 UTC, lat: 47.61112, long: -122.34821, power: 191, cadence: 80, distance: 119381
time: 2024-08-03 14:10:06 +0000 UTC, lat: 47.61107, long: -122.34813, power: 186, cadence: 77, distance: 120140
time: 2024-08-03 14:10:07 +0000 UTC, lat: 47.61102, long: -122.34807, power: 216, cadence: 80, distance: 120960
time: 2024-08-03 14:10:08 +0000 UTC, lat: 47.61096, long: -122.34801, power: 180, cadence: 81, distance: 121733
time: 2024-08-03 14:10:09 +0000 UTC, lat: 47.61090, long: -122.34794, power: 205, cadence: 81, distance: 122535
time: 2024-08-03 14:10:10 +0000 UTC, lat: 47.61085, long: -122.34786, power: 188, cadence: 83, distance: 123369
time: 2024-08-03 14:10:11 +0000 UTC, lat: 47.61081, long: -122.34778, power: 208, cadence: 82, distance: 124151
time: 2024-08-03 14:10:12 +0000 UTC, lat: 47.61077, long: -122.34769, power: 175, cadence: 82, distance: 124945
time: 2024-08-03 14:10:13 +0000 UTC, lat: 47.61072, long: -122.34761, power: 186, cadence: 82, distance: 125737
time: 2024-08-03 14:10:14 +0000 UTC, lat: 47.61067, long: -122.34753, power: 172, cadence: 81, distance: 126548
time: 2024-08-03 14:10:15 +0000 UTC, lat: 47.61062, long: -122.34745, power: 175, cadence: 81, distance: 127406
time: 2024-08-03 14:10:16 +0000 UTC, lat: 47.61057, long: -122.34737, power: 175, cadence: 81, distance: 128235
time: 2024-08-03 14:10:17 +0000 UTC, lat: 47.61052, long: -122.34729, power: 175, cadence: 81, distance: 129105
time: 2024-08-03 14:10:18 +0000 UTC, lat: 47.61048, long: -122.34721, power: 170, cadence: 81, distance: 129878
time: 2024-08-03 14:10:19 +0000 UTC, lat: 47.61044, long: -122.34713, power: 200, cadence: 82, distance: 130593
time: 2024-08-03 14:10:20 +0000 UTC, lat: 47.61039, long: -122.34705, power: 194, cadence: 80, distance: 131360
time: 2024-08-03 14:10:21 +0000 UTC, lat: 47.61034, long: -122.34698, power: 191, cadence: 81, distance: 132096
time: 2024-08-03 14:10:22 +0000 UTC, lat: 47.61029, long: -122.34690, power: 183, cadence: 81, distance: 132918
time: 2024-08-03 14:10:23 +0000 UTC, lat: 47.61024, long: -122.34682, power: 197, cadence: 83, distance: 133743
time: 2024-08-03 14:10:24 +0000 UTC, lat: 47.61019, long: -122.34675, power: 194, cadence: 81, distance: 134526
time: 2024-08-03 14:10:25 +0000 UTC, lat: 47.61014, long: -122.34667, power: 181, cadence: 82, distance: 135326
time: 2024-08-03 14:10:26 +0000 UTC, lat: 47.61009, long: -122.34659, power: 202, cadence: 80, distance: 136140
time: 2024-08-03 14:10:27 +0000 UTC, lat: 47.61005, long: -122.34651, power: 170, cadence: 86, distance: 136923
time: 2024-08-03 14:10:28 +0000 UTC, lat: 47.61000, long: -122.34644, power: 204, cadence: 82, distance: 137686
time: 2024-08-03 14:10:29 +0000 UTC, lat: 47.60996, long: -122.34635, power: 204, cadence: 82, distance: 138441
time: 2024-08-03 14:10:30 +0000 UTC, lat: 47.60992, long: -122.34628, power: 204, cadence: 82, distance: 139210
time: 2024-08-03 14:10:31 +0000 UTC, lat: 47.60987, long: -122.34619, power: 213, cadence: 82, distance: 140045
time: 2024-08-03 14:10:32 +0000 UTC, lat: 47.60982, long: -122.34611, power: 194, cadence: 84, distance: 140852
time: 2024-08-03 14:10:33 +0000 UTC, lat: 47.60978, long: -122.34602, power: 207, cadence: 84, distance: 141663
time: 2024-08-03 14:10:34 +0000 UTC, lat: 47.60973, long: -122.34595, power: 216, cadence: 81, distance: 142443
time: 2024-08-03 14:10:35 +0000 UTC, lat: 47.60968, long: -122.34586, power: 176, cadence: 85, distance: 143262
time: 2024-08-03 14:10:36 +0000 UTC, lat: 47.60963, long: -122.34579, power: 197, cadence: 84, distance: 144032
time: 2024-08-03 14:10:37 +0000 UTC, lat: 47.60958, long: -122.34571, power: 214, cadence: 84, distance: 144848
time: 2024-08-03 14:10:38 +0000 UTC, lat: 47.60954, long: -122.34563, power: 171, cadence: 83, distance: 145622
time: 2024-08-03 14:10:39 +0000 UTC, lat: 47.60949, long: -122.34555, power: 165, cadence: 88, distance: 146405
time: 2024-08-03 14:10:40 +0000 UTC, lat: 47.60944, long: -122.34547, power: 0, cadence: 88, distance: 147193
time: 2024-08-03 14:10:41 +0000 UTC, lat: 47.60940, long: -122.34540, power: 0, cadence: 88, distance: 147928
time: 2024-08-03 14:10:42 +0000 UTC, lat: 47.60936, long: -122.34532, power: 0, cadence: 0, distance: 148653
time: 2024-08-03 14:10:43 +0000 UTC, lat: 47.60933, long: -122.34525, power: 0, cadence: 14, distance: 149358
time: 2024-08-03 14:10:44 +0000 UTC, lat: 47.60929, long: -122.34517, power: 96, cadence: 81, distance: 150055
time: 2024-08-03 14:10:45 +0000 UTC, lat: 47.60926, long: -122.34509, power: 0, cadence: 81, distance: 150762
time: 2024-08-03 14:10:46 +0000 UTC, lat: 47.60923, long: -122.34502, power: 0, cadence: 81, distance: 151382
time: 2024-08-03 14:10:47 +0000 UTC, lat: 47.60919, long: -122.34496, power: 0, cadence: 0, distance: 151958
time: 2024-08-03 14:10:48 +0000 UTC, lat: 47.60915, long: -122.34494, power: 0, cadence: 0, distance: 152471
time: 2024-08-03 14:10:49 +0000 UTC, lat: 47.60910, long: -122.34496, power: 0, cadence: 0, distance: 152940
time: 2024-08-03 14:10:50 +0000 UTC, lat: 47.60906, long: -122.34496, power: 0, cadence: 0, distance: 153411
time: 2024-08-03 14:10:51 +0000 UTC, lat: 47.60903, long: -122.34492, power: 28, cadence: 9, distance: 153821
time: 2024-08-03 14:10:52 +0000 UTC, lat: 47.60901, long: -122.34487, power: 375, cadence: 55, distance: 154231
time: 2024-08-03 14:10:53 +0000 UTC, lat: 47.60899, long: -122.34481, power: 318, cadence: 62, distance: 154735
time: 2024-08-03 14:10:54 +0000 UTC, lat: 47.60895, long: -122.34475, power: 291, cadence: 68, distance: 155377
time: 2024-08-03 14:10:55 +0000 UTC, lat: 47.60891, long: -122.34469, power: 253, cadence: 73, distance: 155997
time: 2024-08-03 14:10:56 +0000 UTC, lat: 47.60887, long: -122.34463, power: 225, cadence: 75, distance: 156617
time: 2024-08-03 14:10:57 +0000 UTC, lat: 47.60883, long: -122.34456, power: 209, cadence: 77, distance: 157333
time: 2024-08-03 14:10:58 +0000 UTC, lat: 47.60879, long: -122.34448, power: 197, cadence: 77, distance: 158044
time: 2024-08-03 14:10:59 +0000 UTC, lat: 47.60875, long: -122.34441, power: 173, cadence: 81, distance: 158747
time: 2024-08-03 14:11:00 +0000 UTC, lat: 47.60871, long: -122.34435, power: 188, cadence: 80, distance: 159453
time: 2024-08-03 14:11:01 +0000 UTC, lat: 47.60867, long: -122.34427, power: 186, cadence: 81, distance: 160189
time: 2024-08-03 14:11:02 +0000 UTC, lat: 47.60862, long: -122.34419, power: 159, cadence: 83, distance: 160922
time: 2024-08-03 14:11:03 +0000 UTC, lat: 47.60858, long: -122.34412, power: 106, cadence: 75, distance: 161651
time: 2024-08-03 14:11:04 +0000 UTC, lat: 47.60854, long: -122.34406, power: 152, cadence: 75, distance: 162339
time: 2024-08-03 14:11:05 +0000 UTC, lat: 47.60850, long: -122.34398, power: 165, cadence: 77, distance: 163048
time: 2024-08-03 14:11:06 +0000 UTC, lat: 47.60846, long: -122.34390, power: 153, cadence: 76, distance: 163774
time: 2024-08-03 14:11:07 +0000 UTC, lat: 47.60842, long: -122.34383, power: 189, cadence: 79, distance: 164496
time: 2024-08-03 14:11:08 +0000 UTC, lat: 47.60837, long: -122.34376, power: 167, cadence: 77, distance: 165216
time: 2024-08-03 14:11:09 +0000 UTC, lat: 47.60833, long: -122.34368, power: 178, cadence: 78, distance: 165991
time: 2024-08-03 14:11:10 +0000 UTC, lat: 47.60828, long: -122.34360, power: 191, cadence: 80, distance: 166783
time: 2024-08-03 14:11:11 +0000 UTC, lat: 47.60823, long: -122.34352, power: 188, cadence: 82, distance: 167585
